Protocollo,Longitude,Latitude,DataOraIncidente,Municipio
4736836,12.6395,41.9384,2020-01-04 22:50:00,Municipio IV
4746329,12.4021,41.859,2020-01-11 14:00:00,Municipio XI
4748299,12.6028,41.9132,2020-01-12 20:08:00,Municipio V
4764985,12.531,41.9109,2020-01-22 18:35:00,Municipio IV
4768714,12.4934,41.8738,2020-01-25 00:20:00,Municipio I
4772950,12.5733,41.8872,2020-01-28 02:58:00,Municipio V
4801013,12.4799,41.7729,2020-02-14 09:30:00,Municipio IX
4801156,12.6348,41.9406,2020-02-14 04:20:00,Municipio IV
4811366,12.4876,42.016,2020-02-20 12:40:00,Municipio XV
4811618,12.4698,41.9134,2020-02-20 13:50:00,Municipio I
4815412,12.4615,41.8153,2020-02-22 21:20:00,Municipio IX
4851846,12.5171,41.8528,2020-03-22 15:30:00,Municipio VIII
4864529,12.4804,41.8729,2020-04-03 12:50:00,Municipio VIII
4878658,12.4477,41.9238,2020-04-16 09:45:00,Municipio XIV
4896315,12.3257,41.9344,2020-05-02 19:00:00,Municipio XIII
4897650,12.5285,41.8749,2020-05-04 15:50:00,Municipio VII
4910320,12.6103,41.9149,2020-05-14 17:05:00,Municipio V
4918518,12.5075,41.8348,2020-05-20 16:10:00,Municipio VIII
4919044,12.5156,41.9056,2020-05-20 21:40:00,Municipio II
4927222,12.6212,41.8626,2020-05-26 23:30:00,Municipio VI
4942703,,,2020-06-08 22:00:00,
4946169,12.6306,41.8245,2020-06-11 01:35:00,Municipio VII
4960907,12.3013,41.7197,2020-06-21 17:30:00,Municipio X
4973964,12.5643,41.9485,2020-07-01 09:55:00,Municipio III
4990788,,,2020-07-14 22:10:00,
5000045,12.6163,41.9367,2020-07-23 02:30:00,Municipio IV
5002289,12.577,41.9394,2020-07-03 23:50:00,Municipio IV
5013637,12.5248,41.8509,2020-08-03 21:00:00,Municipio VIII
5020177,12.5257,41.8843,2020-08-07 23:57:00,Municipio VII
5023059,12.3155,42.0344,2020-08-12 18:20:00,Municipio XIV
5029340,12.3735,41.6876,2020-08-20 16:30:00,Municipio X
5030991,,,2020-08-22 20:30:00,
5031340,12.5159,41.946,2020-08-23 20:55:00,Municipio III
5038617,12.6452,41.9419,2020-08-31 11:00:00,
5052230,13.0816,42.4174,2020-09-10 14:50:00,
5057245,12.5837,41.9049,2020-09-14 19:50:00,Municipio V
5079398,12.37,41.9431,2020-09-28 20:20:00,Municipio XIV
5098191,12.5987,41.8658,2020-10-09 09:10:00,Municipio VI
5100358,12.4717,41.9367,2020-10-11 04:20:00,Municipio XV
5101307,12.5522,41.9083,2020-10-09 18:00:00,Municipio IV
5106082,12.4619,41.9227,2020-10-13 15:55:00,Municipio I
5123380,12.5261,41.9165,2020-10-23 14:00:00,Municipio II
5246931,12.6322,41.9257,2020-10-23 09:40:00,Municipio IV
5139224,12.4828,41.7742,2020-11-05 11:10:00,Municipio IX
5141575,12.5645,41.9213,2020-11-06 15:20:00,Municipio IV
5144034,,,2020-11-08 21:07:00,
5145752,,,2020-11-09 18:20:00,
5146165,12.3993,41.923,2020-11-10 02:20:00,Municipio XIV
5154962,12.4504,41.9207,2020-11-15 20:35:00,Municipio I
5164266,12.3676,41.8882,2020-11-22 22:50:00,Municipio XIII
5164604,12.4229,41.8109,2020-11-22 17:20:00,Municipio IX
5169457,12.6282,41.8764,2020-11-25 20:15:00,Municipio VI
5176838,12.4688,41.6994,2020-12-01 05:27:00,Municipio IX
5180954,12.5159,41.9027,2020-12-03 12:30:00,Municipio II
5181529,12.6297,41.8674,2020-12-03 06:55:00,Municipio VI
5183605,12.6111,41.844,2020-12-04 17:00:00,Municipio VII
5186726,12.5105,41.8869,2020-12-07 18:35:00,Municipio I
5189754,,,2020-12-09 21:00:00,
5196801,12.6283,41.9088,2020-12-14 08:00:00,Municipio VI
5200601,12.4785,41.8914,2020-12-16 18:20:00,Municipio I
5211703,12.4651,41.8982,2020-12-24 16:40:00,Municipio I
5216554,12.4809,41.8899,2020-12-29 23:55:00,Municipio I
