Protocollo,Longitude,Latitude,DataOraIncidente,NaturaIncidente,Municipio
5229862,12.3605,41.9581,2021-01-10 11:00:00,C8,Municipio XIV
5251322,12.565,41.9219,2021-01-18 06:15:00,C2,Municipio IV
5256095,12.5042,41.9388,2021-01-28 11:50:00,C5,Municipio II
5258568,12.5828,41.9355,2021-01-29 23:00:00,C5,Municipio IV
5284889,,,2021-02-16 13:50:00,C7,
5285502,12.5154,41.9631,2021-02-16 17:15:00,C1,Municipio III
5294457,12.4461,41.8579,2021-02-22 07:50:00,C3,Municipio XII
5301210,12.5595,41.8797,2021-02-26 22:00:00,C5,Municipio V
5303872,12.4521,41.9146,2021-02-26 14:00:00,C6,Municipio I
5310456,12.5895,41.9183,2021-03-04 19:20:00,C1,Municipio IV
5314220,12.5345,41.9081,2021-03-06 19:10:00,C1,Municipio IV
5338818,12.6843,41.8464,2021-03-24 15:20:00,C5,Municipio VI
5339222,12.5733,41.8872,2021-03-24 20:22:00,C4,Municipio V
5365851,12.432,41.8833,2021-04-12 12:20:00,C4,Municipio XII
5387647,12.5631,41.917,2021-04-27 10:00:00,C8,Municipio IV
5395491,12.5427,41.9437,2021-04-30 15:05:00,C8,Municipio III
5395497,12.5732,41.8813,2021-05-02 22:20:00,C1,Municipio V
5397310,12.5115,41.9873,2021-05-03 16:00:00,C2,Municipio III
5397399,12.3403,41.7412,2021-05-04 00:20:00,C5,Municipio X
5406617,12.5051,42.0265,2021-05-09 14:05:00,C3,Municipio XV
5417048,12.6252,41.8274,2021-05-15 14:45:00,C5,Municipio VII
5417404,12.3618,41.8851,2021-05-16 16:30:00,,Municipio XII
5422108,12.4987,41.8263,2021-05-19 12:50:00,C5,Municipio VIII
5426702,12.573,41.885,2021-05-22 03:40:00,C1,Municipio V
5427580,,,2021-05-22 16:30:00,C8,
5432639,12.5473,41.9096,2021-05-25 16:10:00,C1,Municipio IV
5435815,12.4844,41.8673,2021-05-27 13:15:00,C8,Municipio VIII
5436889,12.4411,41.9404,2021-05-28 08:30:00,C7,Municipio XIV
5452891,12.4901,41.9885,2021-06-08 00:30:00,C2,Municipio XV
5474248,12.6345,41.8021,2021-06-20 17:10:00,C2,Municipio VII
5475699,12.3735,41.6876,2021-06-21 13:00:00,C2,Municipio X
5478767,12.3749,41.7378,2021-06-22 18:15:00,C7,Municipio X
5478932,12.4091,41.9183,2021-06-23 00:05:00,,Municipio XIV
5484694,12.5129,41.9106,2021-06-26 04:40:00,C5,Municipio II
5490461,12.4732,41.8842,2021-06-30 07:50:00,C6,Municipio I
5495970,12.5605,41.8257,2021-07-03 02:30:00,C5,Municipio VII
5495990,12.7087,41.9031,2021-07-02 22:20:00,C1,Municipio VI
5498121,12.5417,41.8916,2021-07-05 09:00:00,C1,Municipio V
5499589,12.4609,41.9367,2021-07-05 22:55:00,C8,Municipio XV
5501810,12.4638,41.9545,2021-07-06 19:30:00,C8,Municipio XV
5508099,12.3456,41.7363,2021-07-11 06:10:00,C8,Municipio X
5510730,12.5043,41.9082,2021-07-13 07:15:00,C2,Municipio II
5517812,12.5524,41.8676,2021-07-17 08:50:00,C8,Municipio V
5544741,12.4885,41.9455,2021-08-07 03:41:00,C5,Municipio XV
5546691,12.5608,41.8834,2021-08-09 15:40:00,C2,Municipio V
5549654,12.5098,41.9379,2021-08-11 17:26:00,C5,Municipio II
5558056,12.3141,41.999,2021-08-22 11:20:00,C2,Municipio XIV
5562195,12.6605,41.8909,2021-08-25 21:10:00,C8,Municipio VI
5564423,12.4796,41.8678,2021-08-28 05:00:00,C8,Municipio VIII
5571934,12.5522,41.9115,2021-09-02 21:30:00,C7,Municipio IV
5574857,12.7294,41.9118,2021-09-04 21:25:00,C7,Municipio VI
5576246,12.5326,41.8306,2021-09-06 07:00:00,C1,Municipio VIII
5580918,12.5061,41.9224,2021-09-09 00:15:00,C2,Municipio II
5582135,12.4878,41.9614,2021-09-09 14:40:00,C4,Municipio XV
5586986,12.3735,41.6876,2021-09-12 13:27:00,C2,Municipio X
5588331,12.4125,41.9559,2021-09-13 08:05:00,C8,Municipio XIV
5596734,12.5227,41.891,2021-09-17 20:10:00,C2,Municipio V
5597811,12.6314,41.9403,2021-09-18 17:50:00,C5,Municipio IV
5618423,12.479,41.8855,2021-09-30 04:00:00,C5,Municipio I
5633190,12.313,42.0067,2021-10-08 06:50:00,C7,Municipio XIV
5645902,12.5937,41.8344,2021-10-16 00:35:00,C1,Municipio VII
5647758,12.3642,41.785,2021-10-16 04:50:00,C2,Municipio X
5650376,,,2021-10-18 17:30:00,C5,
5664216,12.4859,41.9214,2021-10-26 19:35:00,C1,Municipio II
5670571,12.6983,41.9322,2021-10-30 07:05:00,C7,Municipio VI
5672217,12.4447,41.8253,2021-10-31 02:10:00,C4,Municipio IX
5688882,12.334,41.772,2021-11-10 17:30:00,C1,Municipio X
5690617,12.5219,41.9252,2021-11-11 19:20:00,C8,Municipio II
5707344,13.0816,42.4174,2021-11-22 07:20:00,C2,
5712085,12.5432,41.9171,2021-11-25 07:30:00,C1,Municipio IV
5715198,12.4565,41.8448,,,Municipio XI
5721278,12.4976,41.8641,2021-11-30 18:20:00,C8,Municipio VIII
5729688,12.5348,41.8714,2021-12-06 09:00:00,C5,Municipio VII
5745184,12.5674,41.8668,2021-12-16 15:40:00,C2,Municipio V
5754637,12.5044,41.8718,2021-12-19 05:15:00,C5,Municipio VII
5754637,12.5044,41.8718,2021-12-19 05:15:00,C5,Municipio VII
5754906,12.5378,41.8992,2021-12-23 02:00:00,C5,Municipio IV
5759730,,,,C1,
