Protocollo,Longitude,Latitude,DataOraIncidente,Municipio
5764617,12.4484,41.9647,2022-01-01 01:50:00,Municipio XV
5764617,12.4484,41.9647,2022-01-01 01:50:00,Municipio XV
5764617,12.4484,41.9647,2022-01-01 01:50:00,Municipio XV
5764617,12.4484,41.9647,2022-01-01 01:50:00,Municipio XV
5764669,,,2022-01-01 04:10:00,
5764995,12.5979,41.8296,2022-01-01 01:30:00,Municipio VII
5765001,12.5494,41.8637,2022-01-01 11:30:00,Municipio VII
5765001,12.5494,41.8637,2022-01-01 11:30:00,Municipio VII
5765001,12.5494,41.8637,2022-01-01 11:30:00,Municipio VII
5765010,12.5638,41.8601,2022-01-01 10:45:00,Municipio VII
5765010,12.5638,41.8601,2022-01-01 10:45:00,Municipio VII
5765156,12.4856,41.885,2022-01-01 20:40:00,Municipio I
5765156,12.4856,41.885,2022-01-01 20:40:00,Municipio I
5765156,12.4856,41.885,2022-01-01 20:40:00,Municipio I
5765157,,,2022-01-01 02:30:00,
5765157,,,2022-01-01 02:30:00,
5765189,12.4714,41.9024,2022-01-01 11:55:00,Municipio I
5765243,12.5422,41.8793,2022-01-01 12:30:00,Municipio V
5765243,12.5422,41.8793,2022-01-01 12:30:00,Municipio V
5765243,12.5422,41.8793,2022-01-01 12:30:00,Municipio V
5765243,12.5422,41.8793,2022-01-01 12:30:00,Municipio V
5765269,12.5421,41.8911,2022-01-02 00:10:00,Municipio V
5765269,12.5421,41.8911,2022-01-02 00:10:00,Municipio V
5765269,12.5421,41.8911,2022-01-02 00:10:00,Municipio V
5765327,12.5112,41.8794,2022-01-02 09:10:00,Municipio VII
5765327,12.5112,41.8794,2022-01-02 09:10:00,Municipio VII
5765328,12.6777,41.8635,2022-01-01 19:25:00,Municipio VI
5765328,12.6777,41.8635,2022-01-01 19:25:00,Municipio VI
5765328,12.6777,41.8635,2022-01-01 19:25:00,Municipio VI
5765383,12.4485,41.9482,2022-01-01 12:00:00,Municipio XV
5765383,12.4485,41.9482,2022-01-01 12:00:00,Municipio XV
5765383,12.4485,41.9482,2022-01-01 12:00:00,Municipio XV
5765386,12.4971,41.9987,2022-01-01 16:30:00,Municipio XV
5765386,12.4971,41.9987,2022-01-01 16:30:00,Municipio XV
5765386,12.4971,41.9987,2022-01-01 16:30:00,Municipio XV
5765386,12.4971,41.9987,2022-01-01 16:30:00,Municipio XV
5765386,12.4971,41.9987,2022-01-01 16:30:00,Municipio XV
5765434,12.528,41.9105,2022-01-02 13:00:00,Municipio II
5765434,12.528,41.9105,2022-01-02 13:00:00,Municipio II
5765434,12.528,41.9105,2022-01-02 13:00:00,Municipio II
5765490,12.3678,41.779,2022-01-01 19:20:00,Municipio X
5765490,12.3678,41.779,2022-01-01 19:20:00,Municipio X
5765491,12.3806,41.6827,2022-01-01 17:11:00,Municipio X
5765491,12.3806,41.6827,2022-01-01 17:11:00,Municipio X
5765491,12.3806,41.6827,2022-01-01 17:11:00,Municipio X
5765492,12.2583,41.7368,2022-01-01 14:00:00,Municipio X
5765492,12.2583,41.7368,2022-01-01 14:00:00,Municipio X
5765492,12.2583,41.7368,2022-01-01 14:00:00,Municipio X
5765494,12.4115,41.7858,2022-01-01 04:11:00,Municipio IX
5765494,12.4115,41.7858,2022-01-01 04:11:00,Municipio IX
5765494,12.4115,41.7858,2022-01-01 04:11:00,Municipio IX
5765494,12.4115,41.7858,2022-01-01 04:11:00,Municipio IX
5765495,,,2022-01-01 01:00:00,
5765496,12.3036,41.7657,2022-01-01 23:10:00,Municipio X
5765496,12.3036,41.7657,2022-01-01 23:10:00,Municipio X
5765496,12.3036,41.7657,2022-01-01 23:10:00,Municipio X
5765496,12.3036,41.7657,2022-01-01 23:10:00,Municipio X
5765496,12.3036,41.7657,2022-01-01 23:10:00,Municipio X
5765496,12.3036,41.7657,2022-01-01 23:10:00,Municipio X
5765529,12.4598,41.8329,2022-01-01 12:20:00,Municipio IX
5765529,12.4598,41.8329,2022-01-01 12:20:00,Municipio IX
5765529,12.4598,41.8329,2022-01-01 12:20:00,Municipio IX
5765768,12.5151,41.8845,2022-01-03 01:50:00,Municipio VII
5765768,12.5151,41.8845,2022-01-03 01:50:00,Municipio VII
5765774,12.4813,41.9402,2022-01-02 10:30:00,Municipio XV
5765774,12.4813,41.9402,2022-01-02 10:30:00,Municipio XV
5765774,12.4813,41.9402,2022-01-02 10:30:00,Municipio XV
5765774,12.4813,41.9402,2022-01-02 10:30:00,Municipio XV
5765781,12.5873,41.7182,2022-01-02 21:20:00,Municipio IX
5765800,12.341,42.0706,2022-01-02 16:20:00,Municipio XV
5765800,12.341,42.0706,2022-01-02 16:20:00,Municipio XV
5765800,12.341,42.0706,2022-01-02 16:20:00,Municipio XV
5765801,12.6202,41.8929,2022-01-01 00:40:00,Municipio VI
5765823,12.6261,41.8775,2022-01-01 02:30:00,Municipio VI
5765823,12.6261,41.8775,2022-01-01 02:30:00,Municipio VI
5765823,12.6261,41.8775,2022-01-01 02:30:00,Municipio VI
5765827,12.6212,41.8626,2022-01-01 13:00:00,Municipio VI
5765827,12.6212,41.8626,2022-01-01 13:00:00,Municipio VI
5765829,12.3758,42.02,2022-01-02 20:00:00,Municipio XV
