,Protocollo,Longitude,Latitude,NaturaIncidente,DataOraIncidente,CondizioneAtmosferica,Municipio
489,4736836,12.6395,41.9384,C5,2020-01-10,Sereno,Municipio IV
1657,4746329,12.4021,41.859,C7,2020-01-20,Sereno,Municipio XI
1957,4748299,12.6028,41.9132,C3,2020-01-20,Sereno,Municipio V
4137,4764985,12.531,41.9109,C1,2020-02-01,Sereno,Municipio IV
4524,4768714,12.4934,41.8738,C3,2020-02-01,Nuvoloso,Municipio I
5198,4772950,12.5733,41.8872,C1,2020-02-01,Nuvoloso,Municipio V
8890,4801013,12.4799,41.7729,C2,2020-02-20,Nuvoloso,Municipio IX
8910,4801156,12.6348,41.9406,C2,2020-02-20,Nuvoloso,Municipio IV
10211,4811366,12.4876,42.016,C5,2020-02-10,Sereno,Municipio XV
10243,4811618,12.4698,41.9134,C2,2020-02-10,Sereno,Municipio I
10586,4815412,12.4615,41.8153,C5,2020-03-01,Sereno,Municipio IX
14257,4851846,12.5171,41.8528,C3,2020-04-01,Sereno,Municipio VIII
14664,4864529,12.4804,41.8729,C1,2020-04-10,Sereno,Municipio VIII
15129,4878658,12.4477,41.9238,C1,2020-04-20,Sereno,Municipio XIV
15760,4896315,12.3257,41.9344,C4,2020-05-10,Sereno,Municipio XIII
15825,4897650,12.5285,41.8749,C1,2020-05-10,Sereno,Municipio VII
16731,4910320,12.6103,41.9149,C1,2020-05-20,Sereno,Municipio V
17317,4918518,12.5075,41.8348,C5,2020-05-10,Nuvoloso,Municipio VIII
17379,4919044,12.5156,41.9056,C1,2020-05-10,Nuvoloso,Municipio II
18263,4927222,12.6212,41.8626,C4,2020-06-01,Sereno,Municipio VI
20320,4946169,12.6306,41.8245,C5,2020-06-20,Pioggia in atto,Municipio VII
22068,4960907,12.3013,41.7197,C5,2020-07-01,Sereno,Municipio X
23856,4973964,12.5643,41.9485,C8,2020-07-10,Sereno,Municipio III
27317,5000045,12.6163,41.9367,C2,2020-08-01,Sereno,Municipio IV
27621,5002289,12.577,41.9394,C5,2020-07-10,Sereno,Municipio IV
29195,5013637,12.5248,41.8509,C6,2020-08-10,Sereno,Municipio VIII
30064,5020177,12.5257,41.8843,C5,2020-08-10,Sereno,Municipio VII
30430,5023059,12.3155,42.0344,C3,2020-08-20,Sereno,Municipio XIV
31142,5029340,12.3735,41.6876,C8,2020-08-10,Sereno,Municipio X
31376,5031340,12.5159,41.946,C1,2020-09-01,Sereno,Municipio III
34747,5057245,12.5837,41.9049,C8,2020-09-20,Sereno,Municipio V
37505,5079398,12.37,41.9431,C1,2020-10-01,Sereno,Municipio XIV
39723,5098191,12.5987,41.8658,C4,2020-10-10,Sereno,Municipio VI
39891,5100358,12.4717,41.9367,C2,2020-10-20,Nuvoloso,Municipio XV
40111,5101307,12.5522,41.9083,C1,2020-10-10,Sereno,Municipio IV
40678,5106082,12.4619,41.9227,C3,2020-10-20,Sereno,Municipio I
42801,5123380,12.5261,41.9165,C2,2020-11-01,Nuvoloso,Municipio II
43875,5246931,12.6322,41.9257,C8,2020-11-01,Sereno,Municipio IV
44403,5139224,12.4828,41.7742,C5,2020-11-10,Nuvoloso,Municipio IX
44599,5141575,12.5645,41.9213,C8,2020-11-10,Sereno,Municipio IV
45208,5146165,12.3993,41.923,C3,2020-11-20,Sereno,Municipio XIV
46180,5154962,12.4504,41.9207,C8,2020-11-20,Sereno,Municipio I
47081,5164266,12.3676,41.8882,C1,2020-12-01,Sereno,Municipio XIII
47216,5164604,12.4229,41.8109,C4,2020-12-01,Sereno,Municipio IX
47846,5169457,12.6282,41.8764,C1,2020-12-01,Sereno,Municipio VI
48794,5176838,12.4688,41.6994,C1,2020-12-10,Nuvoloso,Municipio IX
49197,5180954,12.5159,41.9027,C2,2020-12-10,Nuvoloso,Municipio II
49227,5181529,12.6297,41.8674,C1,2020-12-10,Nuvoloso,Municipio VI
49504,5183605,12.6111,41.844,C1,2020-12-10,Pioggia in atto,Municipio VII
49865,5186726,12.5105,41.8869,C1,2020-12-10,Nuvoloso,Municipio I
51327,5196801,12.6283,41.9088,C2,2020-12-20,Sereno,Municipio VI
51788,5200601,12.4785,41.8914,C1,2020-12-20,Sereno,Municipio I
53375,5211703,12.4651,41.8982,C4,2021-01-01,Nuvoloso,Municipio I
53844,5216554,12.4809,41.8899,C5,2021-01-01,Sereno,Municipio I
