,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
11692,Autovettura,1.0,0,1,0,0.0,41.8143,12.4823,1.0,2,1,1
15327,Motociclo,1.0,0,1,0,0.0,41.9554,12.4124,1.0,2,0,1
15326,Autovettura,1.0,0,1,0,0.0,41.9554,12.4124,1.0,2,0,1
15320,Autovettura,0.0,0,3,0,0.0,41.9224,12.4463,1.0,2,0,1
15319,Autovettura,0.0,0,3,0,0.0,41.9224,12.4463,1.0,2,0,1
15318,Autovettura,0.0,0,3,0,0.0,41.9224,12.4463,1.0,2,0,1
15309,Autovettura,0.0,0,3,0,0.0,41.9347,12.5207,1.0,2,1,1
15308,Autovettura,0.0,0,3,0,0.0,41.9347,12.5207,1.0,2,1,1
15307,Autovettura,0.0,0,3,0,0.0,41.9347,12.5207,1.0,2,1,1
15296,Autovettura,2.0,0,2,0,0.0,41.9023,12.5032,1.0,2,1,1
15328,Autovettura,0.0,0,2,0,0.0,41.8801,12.4484,1.0,2,0,1
15295,Autovettura,2.0,0,2,0,0.0,41.9023,12.5032,1.0,2,1,1
15293,Autovettura,2.0,0,2,0,0.0,41.9023,12.5032,1.0,2,1,1
15292,Autovettura,0.0,0,2,0,0.0,41.9269,12.4305,1.0,1,0,1
15291,Autovettura,0.0,0,2,0,0.0,41.9269,12.4305,1.0,1,0,1
15287,Autovettura,0.0,0,2,0,0.0,41.8812,12.3501,1.0,1,1,1
15286,Autovettura,0.0,0,2,0,0.0,41.8812,12.3501,1.0,1,1,1
15276,Autovettura,0.0,0,2,0,0.0,41.9327,12.5847,1.0,2,0,1
15275,Autovettura,0.0,0,2,0,0.0,41.9327,12.5847,1.0,2,0,1
15264,Autovettura,1.0,0,1,0,0.0,41.931,12.4263,1.0,1,0,1
15263,Autovettura,1.0,0,1,0,0.0,41.931,12.4263,1.0,1,0,1
15294,Autovettura,2.0,0,2,0,0.0,41.9023,12.5032,1.0,2,1,1
15248,Autocarro,0.0,0,2,0,0.0,41.883,12.5341,1.0,3,0,1
15329,Motociclo,0.0,0,2,0,0.0,41.8801,12.4484,1.0,2,0,1
15336,Autovettura,0.0,0,4,0,0.0,41.8869,12.4404,1.0,2,0,1
15406,Autovettura,0.0,0,3,0,0.0,41.9042,12.4487,1.0,1,0,1
15405,Autovettura,0.0,0,3,0,0.0,41.9042,12.4487,1.0,1,0,1
15394,Autovettura,1.0,0,3,0,0.0,41.8861,12.4012,1.0,2,0,1
15393,Autovettura,1.0,0,3,0,0.0,41.8861,12.4012,1.0,2,0,1
15392,Autovettura,1.0,0,3,0,0.0,41.8861,12.4012,1.0,2,0,1
15391,Autovettura,1.0,0,3,0,0.0,41.8861,12.4012,1.0,2,0,1
15382,Autovettura,0.0,0,3,0,0.0,41.8949,12.4215,1.0,2,0,1
