,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
13976,Autovettura,0,0,5,0,0.0,"41,76762","12,32071",2019-06-29 00:45:00,1,2,1
18633,Autovettura,0,0,2,0,0.0,41.9409,12.4229,2019-07-19 20:00:00,1,2,0
18632,Autovettura,1,0,0,0,0.0,41.8658,12.5427,2019-07-21 01:30:00,1,2,1
18631,Autovettura,1,0,0,0,0.0,41.8658,12.5427,2019-07-21 01:30:00,1,2,1
18630,Autovettura,1,0,0,0,0.0,41.8658,12.5427,2019-07-21 01:30:00,1,2,1
18629,Autovettura,1,0,0,0,0.0,41.8658,12.5427,2019-07-21 01:30:00,1,2,1
18628,Motociclo,1,0,0,0,0.0,41.8658,12.5427,2019-07-21 01:30:00,1,2,1
18627,Autovettura,1,0,0,0,0.0,41.9429,12.4488,2019-07-20 22:20:00,1,2,1
18626,Autovettura,0,0,2,0,0.0,41.9242,12.5704,2019-07-20 07:30:00,1,1,0
18625,Autovettura,0,0,2,0,0.0,41.9242,12.5704,2019-07-20 07:30:00,1,1,0
18624,Autovettura,1,0,4,0,0.0,41.8587,12.5647,2019-07-21 03:20:00,1,2,0
18623,Autovettura,1,0,4,0,0.0,41.8587,12.5647,2019-07-21 03:20:00,1,2,0
18622,Autovettura,1,0,4,0,0.0,41.8587,12.5647,2019-07-21 03:20:00,1,2,0
18621,Autovettura,1,0,4,0,0.0,41.8587,12.5647,2019-07-21 03:20:00,1,2,0
18620,Autovettura,1,0,4,0,0.0,41.8587,12.5647,2019-07-21 03:20:00,1,2,0
18619,Autovettura,0,0,2,0,0.0,41.8396,12.4728,2019-07-19 14:20:00,1,1,1
18618,Autovettura,0,0,2,0,0.0,41.8396,12.4728,2019-07-19 14:20:00,1,1,1
18617,Motociclo,1,0,1,0,0.0,41.9096,12.5014,2019-07-20 01:15:00,1,1,0
18616,Autovettura,1,0,1,0,0.0,41.9096,12.5014,2019-07-20 01:15:00,1,1,0
18615,Autovettura,1,0,2,0,0.0,41.9319,12.4599,2019-07-19 19:45:00,1,2,1
18614,Autovettura,1,0,2,0,0.0,41.9319,12.4599,2019-07-19 19:45:00,1,2,0
18613,Autovettura,1,0,2,0,0.0,41.9319,12.4599,2019-07-19 19:45:00,1,2,0
18612,Autovettura,1,0,1,0,0.0,41.9139,12.4141,2019-07-21 19:20:00,1,1,0
18611,Autovettura,1,0,1,0,0.0,41.9139,12.4141,2019-07-21 19:20:00,1,1,1
18634,Motociclo,0,0,2,0,0.0,41.9409,12.4229,2019-07-19 20:00:00,1,2,0
18610,Autovettura,0,0,2,0,0.0,41.8997,12.5369,2019-07-19 09:00:00,1,2,0
18635,Autovettura,1,0,2,0,0.0,41.9207,12.5663,2019-07-20 10:45:00,1,2,0
18637,Autovettura,1,0,2,0,0.0,41.9207,12.5663,2019-07-20 10:45:00,1,2,0
18660,Autovettura,0,0,5,0,0.0,41.9279,12.5642,2019-07-21 19:40:00,1,2,1
18659,Autovettura,0,0,5,0,0.0,41.9279,12.5642,2019-07-21 19:40:00,1,2,0
18658,Autovettura,0,0,3,0,0.0,41.9412,12.5352,2019-07-19 17:20:00,1,1,1
18657,Autovettura,0,0,3,0,0.0,41.9412,12.5352,2019-07-19 17:20:00,1,1,1
18656,Autovettura,0,0,3,0,0.0,41.9412,12.5352,2019-07-19 17:20:00,1,1,1
18655,Autovettura,0,0,2,0,0.0,41.8404,12.4701,2019-07-20 21:20:00,1,2,1
18654,Autovettura,0,0,2,0,0.0,41.8404,12.4701,2019-07-20 21:20:00,1,2,1
18653,Autovettura,1,0,1,0,0.0,41.9594,12.4466,2019-07-20 21:30:00,1,1,1
18652,Autovettura,1,0,1,0,0.0,41.9594,12.4466,2019-07-20 21:30:00,1,1,1
18651,Autovettura,0,0,2,0,0.0,41.9355,12.4213,2019-07-19 19:40:00,1,2,0
18650,Autovettura,0,0,2,0,0.0,41.9355,12.4213,2019-07-19 19:40:00,1,2,0
18649,Autovettura,0,0,4,0,0.0,41.9325,12.5846,2019-07-21 18:20:00,1,2,0
18648,Autovettura,0,0,4,0,0.0,41.9325,12.5846,2019-07-21 18:20:00,1,2,0
18647,Autovettura,0,0,4,0,0.0,41.9325,12.5846,2019-07-21 18:20:00,1,2,0
18646,Autovettura,0,0,4,0,0.0,41.9325,12.5846,2019-07-21 18:20:00,1,2,0
18645,Autovettura,0,0,2,0,0.0,41.8123,12.425,2019-07-20 16:30:00,1,2,1
18644,Autovettura,0,0,2,0,0.0,41.8123,12.425,2019-07-20 16:30:00,1,2,1
18643,Autovettura,0,0,6,0,0.0,41.8997,12.5369,2019-07-20 20:00:00,1,1,0
18642,Autovettura,0,0,6,0,0.0,41.8997,12.5369,2019-07-20 20:00:00,1,1,0
18641,Autovettura,0,0,6,0,0.0,41.8997,12.5369,2019-07-20 20:00:00,1,1,0
18640,Autovettura,0,0,6,0,0.0,41.8997,12.5369,2019-07-20 20:00:00,1,1,0
18639,Autovettura,0,0,6,0,0.0,41.8997,12.5369,2019-07-20 20:00:00,1,1,0
18638,Autovettura,0,0,6,0,0.0,41.8997,12.5369,2019-07-20 20:00:00,1,1,0
18636,Autovettura,1,0,2,0,0.0,41.9207,12.5663,2019-07-20 10:45:00,1,2,0
18609,Autovettura,0,0,2,0,0.0,41.8997,12.5369,2019-07-19 09:00:00,1,2,0
18608,Motociclo,1,0,1,0,0.0,41.9365,12.4653,2019-07-19 17:05:00,1,2,0
18607,Autovettura,1,0,1,0,0.0,41.9365,12.4653,2019-07-19 17:05:00,1,2,0
18578,Motociclo,3,0,0,0,0.0,41.9087,12.5561,2019-07-20 17:27:00,1,2,0
18577,Autovettura,3,0,0,0,0.0,41.9087,12.5561,2019-07-20 17:27:00,1,2,0
18576,Autocarro,0,0,1,0,0.0,41.9007,12.3865,2019-07-21 03:10:00,1,1,1
18575,Autovettura,0,0,1,0,0.0,41.9007,12.3865,2019-07-21 03:10:00,1,1,1
18574,Autovettura,0,0,1,0,0.0,41.9007,12.3865,2019-07-21 03:10:00,1,1,1
18573,Autovettura,0,0,1,0,0.0,41.9007,12.3865,2019-07-21 03:10:00,1,1,0
18572,Autovettura,0,0,1,0,0.0,41.8454,12.4358,2019-07-19 17:45:00,1,2,1
18571,Autovettura,0,0,1,0,0.0,41.8454,12.4358,2019-07-19 17:45:00,1,2,0
