,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
0,Autovettura,0,0,0,0,0.0,41.8533,12.4325,2020-01-01 05:00:00,1.0,1,1,1
36119,Autovettura,0,0,5,0,0.0,41.7688,12.4925,2020-09-21 17:10:00,1.0,2,1,1
36120,Autocarro,0,0,5,0,0.0,41.7688,12.4925,2020-09-21 17:10:00,1.0,2,1,1
36121,Autocarro,0,0,5,0,0.0,41.7688,12.4925,2020-09-21 17:10:00,1.0,2,1,1
36122,Autovettura,0,0,3,0,0.0,41.9005,12.5347,2020-09-21 09:40:00,1.0,2,1,1
36123,Autovettura,0,0,3,0,0.0,41.9005,12.5347,2020-09-21 09:40:00,1.0,2,1,1
36124,Autovettura,0,0,3,0,0.0,41.9005,12.5347,2020-09-21 09:40:00,1.0,2,1,1
36125,Autovettura,0,0,1,0,0.0,41.8923,12.5382,2020-09-21 14:40:00,1.0,2,1,1
36126,Autovettura,0,0,1,0,0.0,41.8923,12.5382,2020-09-21 14:40:00,1.0,2,1,1
36127,Autovettura,0,0,1,0,0.0,41.8923,12.5382,2020-09-21 14:40:00,1.0,2,1,1
36128,Autovettura,0,0,5,0,0.0,41.9244,12.5711,2020-09-21 12:35:00,3.0,2,1,1
36118,Autovettura,0,0,5,0,0.0,41.7688,12.4925,2020-09-21 17:10:00,1.0,2,1,1
36129,Autovettura,0,0,5,0,0.0,41.9244,12.5711,2020-09-21 12:35:00,3.0,2,1,1
36131,Autovettura,0,0,5,0,0.0,41.9244,12.5711,2020-09-21 12:35:00,3.0,2,1,1
36132,Autovettura,0,0,5,0,0.0,41.9244,12.5711,2020-09-21 12:35:00,3.0,2,1,1
36133,Autovettura,0,0,1,0,0.0,41.878,12.5712,2020-09-21 11:30:00,1.0,1,0,1
36134,Autovettura,0,0,1,0,0.0,41.8773,12.5785,2020-09-21 20:10:00,3.0,1,1,1
36135,Motociclo,0,0,1,0,0.0,41.8773,12.5785,2020-09-21 20:10:00,3.0,1,1,1
36136,Motociclo,1,0,0,0,0.0,41.8982,12.4385,2020-09-21 15:30:00,1.0,2,1,1
36137,Autovettura,0,0,2,0,0.0,41.9042,12.5895,2020-09-21 11:20:00,1.0,2,1,1
36138,Autovettura,0,0,2,0,0.0,41.9042,12.5895,2020-09-21 11:20:00,1.0,2,1,1
36139,Autovettura,1,0,1,0,0.0,41.8907,12.5921,2020-09-21 11:30:00,1.0,2,0,1
36140,Motociclo,1,0,1,0,0.0,41.8907,12.5921,2020-09-21 11:30:00,1.0,2,0,1
36130,Autovettura,0,0,5,0,0.0,41.9244,12.5711,2020-09-21 12:35:00,3.0,2,1,1
36141,Autocarro,0,0,1,0,0.0,41.9198,12.3847,2020-09-21 21:00:00,2.0,1,1,1
36117,Autovettura,0,0,5,0,0.0,41.7688,12.4925,2020-09-21 17:10:00,1.0,2,1,1
36115,Autovettura,0,0,2,0,0.0,41.9504,12.4672,2020-09-21 12:25:00,1.0,2,1,1
36093,Autovettura,0,0,2,0,0.0,41.7744,12.3331,2020-09-21 10:20:00,1.0,2,0,1
36094,Autovettura,1,0,1,0,0.0,41.7385,12.3725,2020-09-21 19:00:00,1.0,2,0,1
36095,Motociclo,1,0,1,0,0.0,41.7385,12.3725,2020-09-21 19:00:00,1.0,2,0,1
36096,Autovettura,3,0,0,0,0.0,41.7689,12.3198,2020-09-21 20:10:00,1.0,3,0,3
36097,Autovettura,3,0,0,0,0.0,41.7689,12.3198,2020-09-21 20:10:00,1.0,3,0,3
36098,Autovettura,3,0,0,0,0.0,41.7689,12.3198,2020-09-21 20:10:00,1.0,3,0,3
36099,Autovettura,1,0,2,0,0.0,41.8391,12.4617,2020-09-21 11:50:00,1.0,2,1,1
36100,Autovettura,1,0,2,0,0.0,41.8391,12.4617,2020-09-21 11:50:00,1.0,2,1,1
36101,Autovettura,1,0,2,0,0.0,41.8391,12.4617,2020-09-21 11:50:00,1.0,2,1,1
36102,Autocarro,2,0,3,0,0.0,41.8876,12.4901,2020-09-21 08:45:00,2.0,2,0,1
36116,Autovettura,0,0,2,0,0.0,41.9504,12.4672,2020-09-21 12:25:00,1.0,2,1,1
36103,Autovettura,2,0,3,0,0.0,41.8876,12.4901,2020-09-21 08:45:00,2.0,2,0,1
36105,Autovettura,2,0,3,0,0.0,41.8876,12.4901,2020-09-21 08:45:00,2.0,2,0,1
36106,Autovettura,2,0,3,0,0.0,41.8876,12.4901,2020-09-21 08:45:00,2.0,2,0,1
36107,Autovettura,1,0,0,0,0.0,41.9735,12.4413,2020-09-21 19:30:00,1.0,2,1,1
36108,Autovettura,1,0,0,0,0.0,41.9735,12.4413,2020-09-21 19:30:00,1.0,2,1,1
36109,Autovettura,0,0,2,0,0.0,41.8608,12.5701,2020-09-21 12:00:00,1.0,2,0,1
36110,Autovettura,0,0,2,0,0.0,41.8608,12.5701,2020-09-21 12:00:00,1.0,2,0,1
36111,Autovettura,0,0,3,0,0.0,42.0032,12.4815,2020-09-21 17:50:00,1.0,2,0,1
36112,Autovettura,0,0,3,0,0.0,42.0032,12.4815,2020-09-21 17:50:00,1.0,2,0,1
36113,Autovettura,0,0,3,0,0.0,42.0032,12.4815,2020-09-21 17:50:00,1.0,2,0,1
36114,Autovettura,0,0,1,0,0.0,41.8108,12.5817,2020-09-21 18:30:00,1.0,1,0,1
36104,Autovettura,2,0,3,0,0.0,41.8876,12.4901,2020-09-21 08:45:00,2.0,2,0,1
36142,Autovettura,0,0,2,0,0.0,,,2020-09-21 15:00:00,1.0,2,1,1
