,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
0,Autovettura,1,1,0,0,1.0,41.9581,12.3605,2,1,1
1,Motociclo,0,1,1,0,1.0,41.9219,12.565,5,1,1
2,Motociclo,0,1,0,0,1.0,41.9388,12.5042,1,2,1
3,Motociclo,0,1,0,0,1.0,41.9355,12.5828,1,1,1
4,Autovettura,1,1,1,0,1.0,41.8813,12.5732,1,1,1
5,Autovettura,0,1,1,0,1.0,41.9873,12.5115,1,2,0
6,Autovettura,0,1,0,0,1.0,41.7412,12.3403,1,1,0
7,Motociclo,0,1,1,0,1.0,42.0265,12.5051,1,2,0
8,Autovettura,0,1,0,0,1.0,41.8274,12.6252,1,2,0
9,Motociclo,3,1,3,0,1.0,41.8851,12.3618,1,2,1
10,Autovettura,0,1,0,0,1.0,41.8263,12.4987,1,2,0
11,Autovettura,0,1,0,0,1.0,41.885,12.573,1,1,1
12,Motociclo,0,1,1,0,1.0,,,1,2,1
13,Autovettura,0,1,2,0,1.0,41.9096,12.5473,1,3,1
14,Autovettura,2,1,2,0,1.0,41.8673,12.4844,1,2,0
15,Motociclo,0,1,0,0,1.0,41.9404,12.4411,1,3,1
16,Motociclo,1,1,0,0,1.0,41.9885,12.4901,1,2,0
17,Motociclo,2,1,2,0,1.0,41.8021,12.6345,1,2,0
18,Motociclo,0,1,2,0,1.0,41.6876,12.3735,1,2,1
19,Autovettura,0,1,0,0,1.0,41.7378,12.3749,1,3,0
20,Motociclo,0,1,0,0,1.0,41.9183,12.4091,1,1,1
21,Motociclo,0,1,0,0,1.0,41.9106,12.5129,1,1,0
22,Autovettura,0,1,0,0,1.0,41.8842,12.4732,1,1,0
23,Motociclo,0,1,2,0,1.0,41.8257,12.5605,1,3,1
24,Autovettura,0,1,2,1,1.0,41.9031,12.7087,1,1,1
25,Autovettura,0,1,2,1,1.0,41.8916,12.5417,1,3,1
26,Motociclo,1,1,1,0,1.0,41.9367,12.4609,1,1,1
27,Motociclo,1,1,0,0,1.0,41.9545,12.4638,1,2,1
28,Autovettura,2,2,0,2,1.0,41.7363,12.3456,1,1,0
29,Motociclo,0,1,1,0,1.0,41.9082,12.5043,1,2,0
30,Motociclo,0,1,1,0,1.0,41.8676,12.5524,1,2,1
31,Autovettura,1,1,0,0,1.0,41.9455,12.4885,1,1,1
32,Autovettura,3,1,0,0,1.0,41.8834,12.5608,1,2,0
33,Autovettura,0,1,0,0,1.0,41.9379,12.5098,1,2,1
34,Motociclo,1,1,1,0,1.0,41.999,12.3141,1,1,1
35,Autovettura,3,1,0,0,1.0,41.8909,12.6605,1,1,0
36,Autovettura,4,1,0,0,1.0,41.8678,12.4796,1,1,1
37,Motociclo,0,1,0,0,1.0,41.9115,12.5522,1,2,1
38,Autovettura,0,1,0,0,1.0,41.9118,12.7294,1,2,0
39,Autovettura,0,1,1,0,1.0,41.8306,12.5326,1,2,1
