DataOraIncidente,NumeroIncidenti
2019-01-01,5
2019-01-10,56
2019-01-20,71
2019-02-01,101
2019-02-10,45
2019-02-20,80
2019-03-01,50
2019-03-10,47
2019-03-20,51
2019-04-01,83
2019-04-10,47
2019-04-20,71
2019-05-01,41
2019-05-10,43
2019-05-20,46
2019-06-01,54
2019-06-10,48
2019-06-20,60
2019-07-01,51
2019-07-10,45
2019-07-20,45
2019-08-01,66
2019-08-10,34
2019-08-20,16
2019-09-01,33
2019-09-10,28
2019-09-20,56
2019-10-01,56
2019-10-10,45
2019-10-20,51
2019-11-01,75
2019-11-10,62
2019-11-20,82
2019-12-01,75
2019-12-10,63
2019-12-20,76
2020-01-01,56
