DataOraIncidente,NumeroIncidenti
2020-01-01,7,
2020-01-11,150,
2020-01-21,193,
2020-01-31,173,
2020-02-10,182,
2020-02-20,201,
2020-03-01,209,
2020-03-11,161,
2020-03-21,49,
2020-03-31,34,
2020-04-10,62,
2020-04-20,28,
2020-04-30,52,
2020-05-10,79,
2020-05-20,77,
2020-05-30,155,
2020-06-09,117,
2020-06-19,154,
2020-06-29,147,
2020-07-09,147,
2020-07-19,160,
2020-07-29,152,
2020-08-08,153,
2020-08-18,92,
2020-08-28,124,
2020-09-07,128,
2020-09-17,144,
2020-09-27,157,
2020-10-07,175,
2020-10-17,170,
2020-10-27,173,
2020-11-06,145,
2020-11-16,147,
2020-11-26,142,
2020-12-06,159,
2020-12-16,175,
2020-12-26,176,
2020-12-31,58
