DataOraIncidente,NumeroIncidenti
2019-01-01,62,
2019-01-02,62,
2019-01-03,48,
2019-01-04,70,
2019-01-05,70,
2019-01-06,64,
2019-01-07,42,
2019-01-08,80,
2019-01-09,114,
2019-01-10,87,
2019-01-11,68,
2019-01-12,93,
2019-01-13,81,
2019-01-14,51,
2019-01-15,93,
2019-01-16,70,
2019-01-17,80,
2019-01-18,93,
2019-01-19,83,
2019-01-20,74,
2019-01-21,82,
2019-01-22,116,
2019-01-23,115,
2019-01-24,119,
2019-01-25,90,
2019-01-26,92,
2019-01-27,65,
2019-01-28,61,
2019-01-29,108,
2019-01-30,113,
2019-01-31,110,
2019-02-01,115,
2019-02-02,105,
2019-02-03,122,
2019-02-04,91,
2019-02-05,108,
2019-02-06,96,
2019-02-07,98,
2019-02-08,89,
2019-02-09,90,
2019-02-10,61,
2019-02-11,49,
2019-02-12,89,
2019-02-13,97,
2019-02-14,87,
2019-02-15,83,
2019-02-16,96,
2019-02-17,82,
2019-02-18,56,
2019-02-19,78,
2019-02-20,61,
2019-02-21,84,
2019-02-22,90,
2019-02-23,97,
2019-02-24,82,
2019-02-25,54,
2019-02-26,82,
2019-02-27,82,
2019-02-28,83,
2019-03-01,95,
2019-03-02,81,
2019-03-03,67,
2019-03-04,63,
2019-03-05,93,
2019-03-06,101,
2019-03-07,91,
2019-03-08,73,
2019-03-09,102,
2019-03-10,73,
2019-03-11,56,
2019-03-12,105,
2019-03-13,94,
2019-03-14,104,
2019-03-15,88,
2019-03-16,87,
2019-03-17,61,
2019-03-18,63,
2019-03-19,72,
2019-03-20,75,
2019-03-21,79,
2019-03-22,102,
2019-03-23,92,
2019-03-24,75,
2019-03-25,55,
2019-03-26,77,
2019-03-27,107,
2019-03-28,87,
2019-03-29,104,
2019-03-30,108,
2019-03-31,76,
2019-04-01,66,
2019-04-02,96,
2019-04-03,85,
2019-04-04,85,
2019-04-05,110,
2019-04-06,122,
2019-04-07,84,
2019-04-08,65,
2019-04-09,95,
2019-04-10,101,
2019-04-11,110,
2019-04-12,121,
2019-04-13,119,
2019-04-14,90,
2019-04-15,66,
2019-04-16,95,
2019-04-17,106,
2019-04-18,110,
2019-04-19,95,
2019-04-20,89,
2019-04-21,102,
2019-04-22,51,
2019-04-23,46,
2019-04-24,79,
2019-04-25,77,
2019-04-26,44,
2019-04-27,80,
2019-04-28,59,
2019-04-29,40,
2019-04-30,92,
2019-05-01,86,
2019-05-02,64,
2019-05-03,99,
2019-05-04,70,
2019-05-05,99,
2019-05-06,76,
2019-05-07,97,
2019-05-08,101,
2019-05-09,95,
2019-05-10,96,
2019-05-11,89,
2019-05-12,65,
2019-05-13,57,
2019-05-14,90,
2019-05-15,82,
2019-05-16,116,
2019-05-17,90,
2019-05-18,100,
2019-05-19,62,
2019-05-20,67,
2019-05-21,99,
2019-05-22,90,
2019-05-23,78,
2019-05-24,109,
2019-05-25,95,
2019-05-26,69,
2019-05-27,95,
2019-05-28,109,
2019-05-29,94,
2019-05-30,92,
2019-05-31,89,
2019-06-01,96,
2019-06-02,81,
2019-06-03,68,
2019-06-04,89,
2019-06-05,104,
2019-06-06,102,
2019-06-07,94,
2019-06-08,90,
2019-06-09,75,
2019-06-10,54,
2019-06-11,91,
2019-06-12,106,
2019-06-13,105,
2019-06-14,101,
2019-06-15,102,
2019-06-16,75,
2019-06-17,51,
2019-06-18,88,
2019-06-19,100,
2019-06-20,100,
2019-06-21,85,
2019-06-22,95,
2019-06-23,61,
2019-06-24,57,
2019-06-25,87,
2019-06-26,125,
2019-06-27,94,
2019-06-28,106,
2019-06-29,79,
2019-06-30,70,
2019-07-01,58,
2019-07-02,112,
2019-07-03,100,
2019-07-04,82,
2019-07-05,86,
2019-07-06,115,
2019-07-07,57,
2019-07-08,49,
2019-07-09,101,
