DataOraIncidente,NumeroIncidenti
2020-01-01,53,
2020-01-11,657,
2020-01-21,781,
2020-01-31,849,
2020-02-10,756,
2020-02-20,824,
2020-03-01,799,
2020-03-11,646,
2020-03-21,144,
2020-03-31,116,
2020-04-10,177,
2020-04-20,124,
2020-04-30,235,
2020-05-10,293,
2020-05-20,388,
2020-05-30,563,
2020-06-09,497,
2020-06-19,638,
2020-06-29,643,
2020-07-09,650,
2020-07-19,603,
2020-07-29,591,
2020-08-08,583,
2020-08-18,369,
2020-08-28,415,
2020-09-07,580,
2020-09-17,675,
2020-09-27,721,
2020-10-07,798,
2020-10-17,775,
2020-10-27,683,
2020-11-06,592,
2020-11-16,614,
2020-11-26,699,
2020-12-06,713,
2020-12-16,793,
2020-12-26,683,
2020-12-31,287
