DataOraIncidente,NumeroIncidenti
2021-01-01,72
2021-01-10,466
2021-01-20,676
2021-02-01,808
2021-02-10,612
2021-02-20,757
2021-03-01,565
2021-03-10,656
2021-03-20,584
2021-04-01,618
2021-04-10,574
2021-04-20,645
2021-05-01,854
2021-05-10,662
2021-05-20,768
2021-06-01,959
2021-06-10,713
2021-06-20,823
2021-07-01,915
2021-07-10,806
2021-07-20,762
2021-08-01,815
2021-08-10,590
2021-08-20,463
2021-09-01,684
2021-09-10,748
2021-09-20,810
2021-10-01,986
2021-10-10,821
2021-10-20,957
2021-11-01,1110
2021-11-10,837
2021-11-20,1047
2021-12-01,1088
2021-12-10,955
2021-12-20,1030
2022-01-01,989
