DataOraIncidente,NumeroIncidenti
2022-01-01,46
2022-01-02,23
2022-01-03,52
2022-01-04,54
2022-01-05,61
2022-01-06,39
2022-01-07,63
2022-01-08,55
2022-01-09,48
2022-01-10,78
2022-01-11,78
2022-01-12,83
2022-01-13,92
2022-01-14,102
2022-01-15,69
2022-01-16,65
2022-01-17,73
2022-01-18,65
2022-01-19,75
2022-01-20,82
2022-01-21,105
2022-01-22,65
2022-01-23,63
2022-01-24,83
2022-01-25,77
2022-01-26,81
2022-01-27,72
2022-01-28,80
2022-01-29,69
2022-01-30,55
2022-01-31,97
2022-02-01,90
2022-02-02,80
2022-02-03,94
2022-02-04,75
2022-02-05,73
2022-02-06,41
2022-02-07,88
2022-02-08,103
2022-02-09,105
2022-02-10,74
2022-02-11,86
2022-02-12,90
2022-02-13,77
2022-02-14,85
2022-02-15,89
2022-02-16,73
2022-02-17,77
2022-02-18,88
2022-02-19,65
2022-02-20,59
2022-02-21,103
2022-02-22,96
2022-02-23,86
2022-02-24,105
2022-02-25,91
2022-02-26,57
2022-02-27,69
2022-02-28,101
2022-03-01,94
2022-03-02,99
2022-03-03,91
2022-03-04,122
2022-03-05,77
2022-03-06,69
2022-03-07,86
2022-03-08,102
2022-03-09,101
2022-03-10,96
2022-03-11,89
2022-03-12,88
2022-03-13,53
2022-03-14,97
2022-03-15,93
2022-03-16,77
2022-03-17,91
2022-03-18,87
2022-03-19,69
2022-03-20,69
2022-03-21,75
2022-03-22,98
2022-03-23,82
2022-03-24,92
2022-03-25,95
2022-03-26,77
2022-03-27,64
2022-03-28,93
2022-03-29,96
2022-03-30,118
2022-03-31,99
2022-04-01,103
2022-04-02,81
2022-04-03,73
2022-04-04,96
2022-04-05,123
2022-04-06,78
2022-04-07,105
2022-04-08,85
2022-04-09,57
2022-04-10,88
2022-04-11,124
2022-04-12,113
2022-04-13,106
2022-04-14,82
2022-04-15,97
2022-04-16,70
2022-04-17,45
2022-04-18,46
2022-04-19,95
2022-04-20,84
2022-04-21,78
2022-04-22,95
2022-04-23,73
2022-04-24,64
2022-04-25,55
2022-04-26,94
2022-04-27,106
2022-04-28,101
2022-04-29,113
2022-04-30,76
2022-05-01,74
2022-05-02,101
2022-05-03,92
2022-05-04,104
2022-05-05,87
2022-05-06,96
2022-05-07,83
2022-05-08,69
2022-05-09,71
2022-05-10,115
2022-05-11,106
2022-05-12,116
2022-05-13,114
2022-05-14,75
2022-05-15,73
2022-05-16,69
2022-05-17,103
2022-05-18,98
2022-05-19,87
2022-05-20,81
2022-05-21,82
2022-05-22,49
2022-05-23,105
2022-05-24,89
2022-05-25,87
2022-05-26,74
2022-05-27,79
2022-05-28,64
2022-05-29,56
2022-05-30,94
2022-05-31,95
2022-06-01,108
2022-06-02,57
2022-06-03,67
2022-06-04,54
2022-06-05,41
2022-06-06,106
2022-06-07,102
2022-06-08,111
2022-06-09,102
2022-06-10,107
2022-06-11,56
2022-06-12,54
2022-06-13,82
2022-06-14,87
2022-06-15,81
2022-06-16,87
2022-06-17,73
2022-06-18,60
2022-06-19,39
2022-06-20,65
2022-06-21,75
2022-06-22,75
2022-06-23,80
2022-06-24,81
2022-06-25,62
2022-06-26,42
2022-06-27,71
2022-06-28,77
2022-06-29,55
2022-06-30,68
2022-07-01,83
2022-07-02,57
2022-07-03,32
2022-07-04,72
2022-07-05,84
2022-07-06,66
2022-07-07,81
2022-07-08,73
2022-07-09,74
2022-07-10,45
2022-07-11,71
2022-07-12,72
2022-07-13,58
2022-07-14,66
2022-07-15,81
2022-07-16,61
2022-07-17,51
2022-07-18,78
2022-07-19,71
2022-07-20,69
2022-07-21,64
2022-07-22,69
2022-07-23,61
2022-07-24,46
2022-07-25,75
2022-07-26,67
2022-07-27,75
2022-07-28,65
2022-07-29,72
2022-07-30,43
2022-07-31,39
2022-08-01,87
2022-08-02,57
2022-08-03,58
2022-08-04,72
2022-08-05,56
2022-08-06,42
2022-08-07,25
2022-08-08,40
2022-08-09,43
2022-08-10,39
2022-08-11,38
2022-08-12,35
2022-08-13,30
2022-08-14,28
2022-08-15,17
2022-08-16,24
2022-08-17,28
2022-08-18,34
2022-08-19,40
2022-08-20,20
2022-08-21,26
2022-08-22,40
2022-08-23,32
2022-08-24,37
2022-08-25,30
2022-08-26,34
2022-08-27,20
2022-08-28,28
2022-08-29,48
2022-08-30,41
2022-08-31,41
