Protocollo,Municipio,TipoPersona,Sesso,Tipolesione,Deceduto,CondizioneAtmosferica,NaturaIncidente,DataOraIncidente,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Deceduto,CinturaCascoUtilizzato,Airbag,FondoStradale,Traffico,TipoVeicolo
4164888,Municipio V,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,05/01/2019 15:10:00,0,0,1,1,-1,,,Asciutto,Normale,
4165952,Municipio IX,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,04/01/2019 15:15:00,0,0,1,1,-1,Utilizzato,,Asciutto,Normale,Motociclo a solo
4166272,Municipio II,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,07/01/2019 04:55:00,0,0,1,0,-1,,,Asciutto,Scarso,
4166507,Municipio IX,Conducente,M,Deceduto sul posto,-1,Sereno,Tamponamento,04/01/2019 15:00:00,1,0,1,1,-1,Non utilizzato,Esploso,Asciutto,Intenso,Autovettura privata
4167419,Municipio XIV,Conducente,M,Deceduto durante prime cure,-1,Sereno,Veicolo in marcia contro ostacolo fisso,08/01/2019 02:35:00,0,0,1,1,-1,Non accertato,,Bagnato (umiditÃ  in atto),Scarso,Autovettura privata
4168606,Municipio V,Pedone,M,Deceduto sul posto,-1,Pioggia in atto,Investimento di pedone,08/01/2019 18:50:00,0,0,1,1,-1,,,Bagnato (pioggia),Normale,
4177518,Municipio III,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale fra veicoli in marcia,14/01/2019 14:50:00,1,0,1,0,-1,,,Asciutto,Normale,Autovettura privata
4187086,Municipio VII,Conducente,M,Deceduto durante trasporto,-1,Pioggia in atto,Veicolo in marcia contro ostacolo fisso,21/01/2019 00:30:00,1,0,2,0,-1,,,Bagnato (pioggia),Scarso,Autovettura privata
4187086,Municipio VII,Passeggero,F,Deceduto sul posto,-1,Pioggia in atto,Veicolo in marcia contro ostacolo fisso,21/01/2019 00:30:00,1,0,2,0,-1,,,Bagnato (pioggia),Scarso,Autovettura privata
4212832,Municipio III,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,04/01/2019 19:20:00,3,0,1,0,-1,,,Asciutto,Scarso,
4205965,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Pioggia in atto,Scontro frontale/laterale DX fra veicoli in marcia,01/02/2019 00:50:00,0,0,1,4,-1,,Esploso,Bagnato (pioggia),Scarso,Autovettura privata
4255590,Municipio IV,Conducente,M,Deceduto durante prime cure,-1,Sereno,Infortunio per sola frenata improvvisa,03/03/2019 13:35:00,0,0,1,1,-1,Utilizzato,,Asciutto,Normale,Motociclo a solo
4257523,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,04/03/2019 18:23:00,0,0,1,3,-1,Non accertato,,Asciutto,Normale,Motociclo a solo
4258824,Municipio I,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Tamponamento,05/03/2019 10:00:00,0,0,1,1,-1,Esente,,Asciutto,Normale,Velocipede
4262608,Municipio XIII,Pedone,F,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,07/03/2019 10:50:00,0,0,1,2,-1,,,Asciutto,Normale,
4266090,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,09/03/2019 22:25:00,0,0,1,0,-1,Non accertato,Esploso,Asciutto,Normale,Autovettura privata
4267934,Municipio XII,Pedone,F,Deceduto durante prime cure,-1,Nuvoloso,Investimento di pedone,11/03/2019 05:50:00,0,0,1,1,-1,,,Asciutto,Normale,
4314435,Municipio VIII,Passeggero,F,Deceduto durante prime cure,-1,Nuvoloso,Scontro frontale/laterale DX fra veicoli in marcia,07/04/2019 00:04:00,2,0,1,0,-1,Non accertato,Esploso,Asciutto,Normale,Autovettura privata
4326935,Municipio XIV,Conducente,M,Deceduto durante prime cure,-1,Nuvoloso,Ribaltamento senza urto contro ostacolo fisso,14/04/2019 02:00:00,0,0,1,0,-1,Non accertato,,Bagnato (pioggia),Scarso,Motociclo a solo
4337432,Municipio VIII,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,20/04/2019 01:30:00,0,0,1,1,-1,,,Asciutto,Normale,
4343582,Municipio VIII,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,24/04/2019 20:10:00,0,0,1,1,-1,Non accertato,,Bagnato (pioggia),Normale,Motociclo a solo
4343678,Municipio IX,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,24/04/2019 21:30:00,0,0,1,1,-1,Esente,,Asciutto,Normale,Velocipede
4347671,Municipio VIII,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale fra veicoli in marcia,28/04/2019 23:10:00,1,0,1,0,-1,Non accertato,Esploso,Asciutto,Scarso,Autovettura privata
4360584,Municipio IX,Conducente,M,Deceduto durante prime cure,-1,Sereno,Scontro frontale/laterale SX fra veicoli in marcia,06/05/2019 21:15:00,1,0,1,1,-1,,,Asciutto,Scarso,Motociclo con passeggero
4361830,Municipio VIII,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale fra veicoli in marcia,07/05/2019 12:00:00,0,0,1,3,-1,Non accertato,Inesploso,Asciutto,Normale,Autovettura privata
4374104,Municipio XIV,Pedone,F,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,14/05/2019 22:10:00,0,0,1,0,-1,,,Bagnato (pioggia),Normale,
4379454,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,17/05/2019 12:20:00,0,0,1,0,-1,,,Asciutto,Scarso,Autovettura privata
4385022,Municipio VII,Conducente,F,Deceduto sul posto,-1,Nuvoloso,Scontro frontale/laterale SX fra veicoli in marcia,20/05/2019 17:15:00,5,0,1,1,-1,Utilizzato,Esploso,Asciutto,Normale,Autovettura privata
4394068,Municipio IV,Conducente,M,Deceduto sul posto,-1,Pioggia in atto,Scontro frontale fra veicoli in marcia,27/05/2019 03:15:00,0,0,1,1,-1,Non accertato,,Bagnato (pioggia),Normale,Motociclo a solo
4397020,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro laterale fra veicoli in marcia,17/05/2019 13:41:00,0,0,1,1,-1,Esente,,Asciutto,Intenso,Velocipede
4422152,Municipio III,Passeggero,F,Deceduto durante prime cure,-1,Sereno,Scontro laterale fra veicoli in marcia,25/05/2019 19:00:00,4,0,1,1,-1,Non accertato,,Asciutto,Normale,Autovettura privata
4413518,Municipio XIV,Conducente,M,Deceduto sul posto,-1,Sereno,Tamponamento Multiplo,06/06/2019 17:15:00,0,0,1,4,-1,,,Asciutto,Intenso,Motociclo a solo
4415831,Municipio XIII,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,08/06/2019 02:40:00,0,0,1,2,-1,,,Asciutto,Scarso,
4421670,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo accidentale,12/06/2019 00:20:00,0,0,1,0,-1,Non accertato,,Asciutto,Scarso,Motociclo a solo
4430194,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,16/06/2019 17:30:00,0,0,1,0,-1,,,Asciutto,Scarso,Motociclo a solo
