Protocollo,Municipio,TipoPersona,Sesso,Tipolesione,Deceduto,CondizioneAtmosferica,NaturaIncidente,DataOraIncidente
4736836,Municipio III,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,04/01/2020 22:50:00
4746329,Municipio XIII,Conducente,F,Deceduto durante prime cure,-1,Sereno,Fuoriuscita dalla sede stradale,11/01/2020 14:00:00
4748299,Municipio IX,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro veicolo in sosta,12/01/2020 20:08:00
4764985,Municipio III,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,22/01/2020 18:35:00
4768714,Municipio VII,Conducente,M,Deceduto durante trasporto,-1,Nuvoloso,Veicolo in marcia contro veicolo in sosta,25/01/2020 00:20:00
4772950,Municipio V,Pedone,M,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,28/01/2020 02:58:00
4801013,Municipio IX,Conducente,F,Deceduto sul posto,-1,Nuvoloso,Scontro frontale fra veicoli in marcia,14/02/2020 09:30:00
4801156,Municipio III,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Scontro laterale fra veicoli in marcia,14/02/2020 04:20:00
4811366,Municipio II,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,20/02/2020 12:40:00
4811618,Municipio I,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro laterale fra veicoli in marcia,20/02/2020 13:50:00
4815412,Municipio IX,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,22/02/2020 21:20:00
4851846,Municipio I,Conducente,M,Deceduto durante prime cure,-1,Sereno,Veicolo in marcia contro veicolo in sosta,22/03/2020 15:30:00
4864529,Municipio I,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,03/04/2020 12:50:00
4878658,Municipio XV,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,16/04/2020 09:45:00
4896315,Municipio X,Conducente,M,Deceduto sul posto,-1,Sereno,Tamponamento,02/05/2020 19:00:00
4897650,Municipio VII,Pedone,M,Deceduto durante prime cure,-1,Sereno,Investimento di pedone,04/05/2020 15:50:00
4910320,Municipio XIII,Pedone,F,Deceduto sul posto,-1,Sereno,Investimento di pedone,14/05/2020 17:05:00
4918518,Municipio IV,Conducente,M,Deceduto sul posto,-1,Nuvoloso,Veicolo in marcia contro ostacolo fisso,20/05/2020 16:10:00
4919044,Municipio III,Pedone,M,Deceduto sul posto,-1,Nuvoloso,Investimento di pedone,20/05/2020 21:40:00
4927222,Municipio I,Conducente,M,Deceduto durante prime cure,-1,Sereno,Tamponamento,26/05/2020 23:30:00
4942703,Municipio VII,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,08/06/2020 22:00:00
4946169,Municipio XIII,Conducente,M,Deceduto sul posto,-1,Pioggia in atto,Veicolo in marcia contro ostacolo fisso,11/06/2020 01:35:00
4960907,Municipio III,Conducente,M,Deceduto sul posto,-1,Sereno,Veicolo in marcia contro ostacolo fisso,21/06/2020 17:30:00
4973964,Municipio III,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale/laterale DX fra veicoli in marcia,01/07/2020 09:55:00
4990788,Municipio X,Pedone,M,Deceduto sul posto,-1,Sereno,Investimento di pedone,14/07/2020 22:10:00
5000045,Municipio III,Conducente,M,Deceduto sul posto,-1,Sereno,Scontro frontale fra veicoli in marcia,23/07/2020 02:30:00
5002289,Municipio XIII,Conducente,M,Deceduto durante prime cure,-1,Sereno,Veicolo in marcia contro ostacolo fisso,03/07/2020 23:50:00
5013637,Municipio IV,Conducente,M,Deceduto durante prime cure,-1,Sereno,Infortunio per caduta del veicolo,03/08/2020 21:00:00
