Protocollo,Gruppo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,NaturaIncidente,particolaritastrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,Illuminazione,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitude,Latitude,Confermato,Progressivo,TipoVeicolo,StatoVeicolo,TipoPersona,Sesso,Tipolesione,Deceduto,DecedutoDopo,CinturaCascoUtilizzato,Airbag
5765328,8,01/01/2022 19:25,Strada Urbana,VIA CASILINA,in corrispondenza,,del civico n.,1799,,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,1,0,1,1,138.57.00,428.35.00,-1,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Utilizzato,
5769881,20,07/01/2022 02:42,,LUNGOTEVERE MARESCIALLO DIAZ,da specificare,,,,Viale Dei Giusti della Farnesina,Veicolo in marcia contro ostacolo fisso,,,,,,,,,,0,1,1,0,,,0,1,Motociclo con passeggero,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
5772566,18,08/01/2022 11:30,Strada Urbana,VIA GREGORIO XI,in prossimità,,del civico n.,4,,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,0,127.35.00,419.28.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,Inesploso
5774885,16,11/01/2022 09:10,Strada Urbana,VIA AURELIA ANTICA,all'intersezione semaforizzata con,LARGO DON LUIGI GUANELLA,LARGO DON LUIGI GUANELLA,,,Investimento di pedone,Intersezione semaforizzata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,1,19.15,433.02.00,0,,,,Pedone,M,Deceduto durante prime cure,-1,,,
5777422,13,13/01/2022 08:29,,LUNGOMARE LUTAZIO CATULO,in prossimità,,del civico n.,40,,Investimento di pedone,,,,,,,,,,0,0,1,1,,,0,,,,Pedone,M,Deceduto sul posto,-1,,,
5778548,13,13/01/2022 19:05,Strada Urbana,VIA MAR ROSSO,all'intersezione con,VIA MARE DI BERING,VIA MARE DI BERING,,,Investimento di pedone,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,,0,0,1,1,138.36.00,422.33.00,-1,,,,Pedone,F,Deceduto durante prime cure,-1,,,
5779158,2,14/01/2022 09:00,Strada Urbana,VIA DEL FORO ITALICO,in prossimità,,del civico n.,501,,Scontro laterale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Intenso,Buona,,1,0,1,1,20.13,425.44.00,-1,2,Motociclo con passeggero,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,,
5782762,18,14/01/2022 12:40,Strada Urbana,VIA ANASTASIO II,all'intersezione con,VIA CARDINALE TRIPEPI,VIA CARDINALE TRIPEPI,,,Scontro frontale/laterale SX fra veicoli in marcia,Intersezione non regolata/non segnalata,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,1,131.05.00,434.39.00,-1,2,Motociclo con passeggero,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,,
5786220,20,19/01/2022 17:25,Provinciale,VIA TIBERINA,da specificare,,,,altezza civico 391,Investimento di pedone,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Sufficiente,,0,0,1,2,125.51.00,424.25.00,-1,,,,Pedone,M,Deceduto sul posto,-1,,,
5789537,12,22/01/2022 01:30,Strada Urbana,VIA DI ACQUA ACETOSA OSTIENSE,in corrispondenza,,del palo luce n.,68,,Veicolo in marcia contro ostacolo fisso,Curva senza visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,,4,0,1,0,135.14.00,418.48.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Passeggero,M,Deceduto durante prime cure,-1,,Non accertato,
5792841,18,24/01/2022 20:15,Strada Urbana,VIA DI TORREVECCHIA,all'intersezione con,VIA DOLCEDO,VIA DOLCEDO,,,Scontro frontale/laterale DX fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,,0,0,1,1,125.09.00,421.25.00,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto durante prime cure,-1,,,
5797962,1,28/01/2022 06:55,Strada Urbana,VIALE GABRIELE D'ANNUNZIO,in prossimità,,del civico n.,3,,Investimento di pedone,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,,1,0,1,0,137.17.00,420.37.00,-1,,,,Pedone,M,Deceduto durante prime cure,-1,,,
5801072,18,29/01/2022 19:25,Strada Urbana,VIA DI TORREVECCHIA,all'intersezione con,VIA GIROLAMO GHINUCCI,VIA GIROLAMO GHINUCCI,,,Scontro frontale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,,0,0,1,2,126.03.00,422.54.00,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,
5804527,12,01/02/2022 17:30,Strada Urbana,VIA DI CASTEL DI LEVA,in prossimità,,del civico n.,321,,Fuoriuscita dalla sede stradale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,0,129.18.00,430.51.00,-1,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
5809596,13,05/02/2022 17:40,,VIA CARLO ALBIZZATI,all'intersezione con,VIA GIANDOMENICO BERTOLI,VIA GIANDOMENICO BERTOLI,,,Scontro frontale/laterale DX fra veicoli in marcia,,,,,,,,,,0,0,1,1,,,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
5820729,7,12/02/2022 22:00,Strada Urbana,VIA DI TOR BELLA MONACA,da specificare,,,,palo luce 118 direzione via casilina,Veicolo in marcia contro ostacolo fisso,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Insufficiente,,0,0,1,0,130.41.00,430.44.00,0,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,,
5823443,2,14/02/2022 20:30,Strada Urbana,VIA PEDRENGO,all'intersezione con,VIA MULAZZANO,VIA MULAZZANO,,,Veicolo in marcia contro ostacolo fisso,Incrocio,Una carreggiata a doppio senso,Bagnato (pioggia),Asfaltata,Assente,Nuvoloso,Scarso,Insufficiente,,0,0,1,0,19.53,425.52.00,0,1,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto durante trasporto,-1,,,
5827098,2,16/02/2022 18:00,Strada Urbana,VIA CLAUDIO MONTEVERDI,in prossimità,,del civico n.,35,,Investimento di pedone,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,,0,0,1,2,139.52.00,422.08.00,-1,,,,Pedone,M,Deceduto durante prime cure,-1,,,
5828401,5,17/02/2022 13:45,Strada Urbana,VIA DI TOR CERVARA,all'intersezione con,VIA ENEIDE,VIA ENEIDE,,,Scontro frontale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,1,139.46.00,422.42.00,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Utilizzato,
5854415,15,06/03/2022 11:20,Strada Urbana,VIA DELLA MAGLIANA,all'intersezione con,VIA DELLE VIGNE,VIA DELLE VIGNE,,,Veicolo in marcia contro ostacolo fisso,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,0,127.16.00,423.17.00,0,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,Inesploso
5855071,3,05/03/2022 06:45,Strada Urbana,CIRCONVALLAZIONE TIBURTINA,da specificare,,,,altezza rampa accesso A24,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Due carreggiate,Bagnato (pioggia),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,,0,0,1,0,130.14.00,420.19.00,0,1,Autovettura privata,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,
5855565,20,07/03/2022 08:45,Provinciale,VIA TIBERINA,in prossimità,,della chilometrica,4,,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,,0,0,1,2,,,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,
5857003,7,08/03/2022 09:45,Strada Urbana,VIA DAMETA,da specificare,,,,SOTTO CAVALCAVIA A24 PROSS. CIV. 51,Investimento di pedone,Galleria non illuminata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,,0,0,1,1,127.04.00,421.55.00,-1,,,,Pedone,F,Deceduto sul posto,-1,,,
5857333,12,08/03/2022 06:40,Strada Urbana,VIALE EGEO,all'intersezione semaforizzata con,VIALE DELL'OCEANO INDIANO,VIALE DELL'OCEANO INDIANO,,,Scontro frontale/laterale DX fra veicoli in marcia,Intersezione semaforizzata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,,0,0,1,1,19.34,422.46.00,0,2,Motociclo a solo,In marcia / fermata / arresto,Conducente,M,Deceduto sul posto,-1,,Non accertato,
